CO1904-8087;;10/21/19
CO1812-4191;1/25/19;1/24/20
COLY-170499;1/31/17;1/30/20
COLY-170499;1/31/17;1/30/20
COLY-165413;2/9/17;2/8/20
COLY—170620;5/22/18;2/12/20
CMEY-161609;2/15/17;2/14/20
CO1902-6280;3/16/19;3/16/20
CO1903-6965;3/27/19;3/27/20
CMAR-170131;4/10/17;4/10/20
CO1904-7775;4/12/19;4/11/20
CO1904-7568;15/04/2019;4/14/20
CO1904-7892;4/25/19;4/25/20
CO1911-01794;5/30/19;5/30/20
CO1903-6452;;7/8/20
CO2003-00864;7/17/19;7/17/20
CO1907-00992;7/19/19;7/19/20
CO1907-01509;;7/26/20
CO1907-01510;;9/8/20
COLY-173552;;9/19/20
CCHA-170169;9/25/17;9/25/20
COLY-174200;;10/3/20
CO1911-00127;10/9/19;10/9/20
CO1909-01219;10/18/19;10/17/20
CO2001-00988;10/24/19;10/24/20
CO1905-9008;10/30/19;10/30/20
CO1904-8191;11/30/18;11/30/20
CO1911-00908;12/2/19;12/2/20
CMEY-171698;12/15/17;12/15/20
CMEY-171583;12/27/17;12/27/20
CO2009-01107;7/1/20;12/31/20
CO2102-00795;;3/31/21
CO2101-01823;1/17/21;1/17/22
CO1912-00866;1/12/20;1/12/21
CO2001-00929 CO2002-00124;1/20/20;1/20/21
CO2009-01853;8/1/20;1/31/21
CMEY-180156;2/5/18;2/5/21
CO2002-01150;2/9/20;2/8/21
CO2003-00565;2/11/18;2/11/21
CO2011-00806;11/12/21;11/11/22
CMEY-180267;;2/18/21
CSPE-180142;2/21/18;2/20/21
CO2002-01111;2/24/20;2/24/21
CO2002-01184;2/27/20;2/27/21
CO2103-00317;2/27/21;2/27/22
CO2002-01435 CO2009-00361;2/28/20;2/28/21
CO2003-00335;3/9/20;2/28/21
CO2010-00148;10/1/20;2/28/21
CO2002-01435;2/28/20;2/28/21
CO2001-00614;3/1/20;2/28/21
CO2002-00537;3/1/20;2/28/21
CO2010-00148;10/1/20;2/28/21
CO2103-00182;3/5/21;3/5/22
CO2010-01154;3/8/20;3/8/21
CO2002-00624;3/19/20;3/19/21
CO2002-01427;3/20/20;3/20/21
CO2003-00801;3/20/20;3/20/21
CO2003-00701;3/16/20;3/26/21
CO2003-00629;4/1/20;3/31/21
CO2005-00016 CO2010-00509;;3/31/21
CO2003-00654;4/1/20;3/31/21
CO2011-01847;1/1/21;3/31/21
CO2003-00814;3/30/20;3/31/21
CO2003-00814;3/30/20;3/31/21
CO2003-00814;3/30/20;3/31/21
CO2004-00345;4/2/20;4/2/21
CO2008-00633;4/9/20;4/8/21
CO2004-00377 CO2011-01053;4/10/20;4/9/21
CO2004-00377 ;4/9/20;4/9/21
CO2004-00237;4/10/20;4/10/21
CO2004-00237;4/10/20;4/10/21
CO2004-00237;4/10/20;4/10/21
CO2004-00147;4/11/20;4/11/21
CO2003-00805;4/11/20;4/11/21
CO2002-00681;4/12/20;4/12/21
CO2004-00376;4/16/20;4/16/21
CO2004-00106;4/16/20;4/16/21
CMAR-180233;4/18/18;4/18/21
CO2103-00140;4/18/21;4/18/22
CO2101-01327;4/15/20;4/19/21
CO2004-00103;4/19/20;4/19/21
CO2006-01945 CO2008-00126;4/22/20;4/21/21
CO2005-00648;4/25/20;4/24/21
CO2003-00002;4/28/20;4/28/21
CO2003-00866;4/29/20;4/28/21
CO2004-00272;4/29/20;4/29/21
CO2004-00272;4/29/20;4/29/21
CO2004-00326;5/1/20;4/30/21
COLY-180770;5/7/18;5/6/21
CO2003-00912;5/8/20;5/8/21
CO2005-00104;5/15/20;5/15/21
CO2005-00188;5/18/20;5/17/21
CO2006-01390;5/21/20;5/20/21
CO2005-01400;5/22/20;5/21/21
CO2005-00030;5/23/20;5/22/21
CO2004-00074;5/23/20;5/22/21
CO2005-01332;5/29/20;5/28/21
CO2005-00734;5/29/20;5/28/21
CMEY-180501;5/31/18;5/31/21
CO2006-00793;9/1/20;5/31/21
CO2006-01363;6/3/20;6/2/21
CO2005-00444;9/2/20;6/2/21
CO2008-00633;6/4/20;6/3/21
CO1905-9063;6/3/19;6/3/21
CO2005-01072;5/29/20;6/4/21
CO2004-00423;6/5/20;6/4/21
CO2009-00191;6/5/20;6/5/21
CO2009-0191;6/5/20;6/5/21
CO2004-00423;6/5/20;6/5/21
CO2003-00001 CO2010-01003;;6/5/21
CO2006-00405;6/10/20;6/10/21
CO2006-00081;6/10/20;6/10/21
CO2006-00736;6/14/20;6/13/21
CO2005-00482;6/15/20;6/14/21
CO2005-00573;6/18/20;6/17/21
CO2006-00504;9/17/20;6/18/21
CO2012-00507 CO2003-00963;;6/18/21
CO2007-01219;6/20/20;6/19/21
CO2007-01219;6/20/20;6/19/21
CO2006-01542;6/22/20;6/21/21
CO2006-01542;6/22/20;6/22/21
CO2005-01160;6/22/20;6/22/21
CO2005-00096;6/22/20;6/22/21
CO2005-00413;6/27/20;6/27/21
CO2006-00467;6/28/20;6/28/21
CO2012-03148;6/1/19;6/30/21
CO2006-01632;7/1/20;6/30/21
CO2009-01603;7/4/20;7/4/21
CO2008-00577;7/5/20;7/5/21
CO2006-01656;7/12/20;7/12/21
CO1807-0162;7/16/18;7/15/21
CO2006-01697;7/17/20;7/17/21
CO2006-01923;7/18/20;7/18/21
CO2006-01490;7/24/20;7/24/21
CO2007-00464;7/27/20;7/26/21
CO2007-00464;7/27/20;7/26/21
CO2006-01880;8/1/20;7/31/21
CO2009-00144;7/21/20;7/31/21
CO2007-01413 CO2101-00759;8/5/20;8/5/21
CO2101-00759;1/14/21;8/5/21
CO1808-0781;8/28/18;8/28/21
CO2009-00906;8/29/20;8/29/21
CO1807-0170 CO1811-3065 CMEY-180112;8/30/18;8/30/21
CO2008-00367;9/1/20;8/31/21
CO2008-00367;9/1/20;8/31/21
CO2010-00438;10/15/20;8/31/21
CO2009-00240;9/7/20;9/6/21
CO2007-00311 CO2008-00759 CO2008-00726;8/27/20;9/10/21
CO2010-00834;10/16/20;9/10/21
CO2012-00883;9/14/20;9/13/21
CO2009-00338;9/16/20;9/16/21
CO2102-01004;2/25/21;9/16/21
CO2008-00725;9/17/20;9/17/21
CO2010-01121;9/18/20;9/18/21
CO2009-01265 CO2101-00804;9/24/20;9/23/21
CO2009-00188;9/27/20;9/27/21
CO2101-00438;10/1/20;9/30/21
CO2101-00258;10/1/20;9/30/21
CO2009-01063 CO2102-00767;10/1/20;9/30/21
CO2010-00882;10/1/20;9/30/21
CO2009-01478;10/3/20;10/3/21
CO1809-1307;10/5/18;10/5/21
C2010-01928;10/11/20;10/10/21
CO2010-00284;11/26/20;10/11/21
CO2012-00321;12/15/20;10/15/21
CO2010-00827;10/18/20;10/17/21
CO2010-01090;10/17/20;10/17/21
CO2010-00034;10/18/20;10/18/21
CO2010-001109;10/22/20;10/22/21
CO2010-00144;10/22/20;10/22/21
CO2011-01723;10/25/20;10/25/21
CO2011-01723;10/25/20;10/25/21
CO2009-01683;10/29/20;10/29/21
CO2009-01470;11/1/20;10/30/21
CO2012-01778;10/31/20;10/31/21
CO2011-00006;11/1/20;10/31/21
CO2012-01778;10/31/20;10/31/21
CO2009-01784;10/31/20;10/31/21
CO2012-01213;11/5/20;11/5/21
CO2011-00305;11/10/20;11/9/21
CO2010-01739;11/10/20;11/9/21
CO2011-00346;11/14/21;11/13/21
CO2010-01876;11/15/20;11/14/21
CO2010-01876;11/20/20;11/19/21
CO2010-00736;11/20/20;11/19/21
CO2011-0385;11/22/20;11/21/21
CO2011-00019;11/23/20;11/23/21
CO2010-01626;11/27/20;11/27/21
CO1911-01307;11/28/20;11/27/21
CO2010-02005;11/28/20;11/27/21
CO2011-00548;11/27/20;11/27/21
CO2012-00379;12/7/20;11/30/21
CO2010-00209;12/3/20;12/3/21
CO1811-3484;12/10/18;12/10/21
CO2011-00497;12/12/20;12/12/21
CO2012-00308;12/14/20;12/13/21
CO2102-00585 CO2102-00586;12/16/20;12/15/21
CO2011-02345;12/15/20;12/16/21
CO2012-02156;12/18/20;12/17/21
CO2011-01848;12/18/20;12/17/21
CO2012-01786;12/17/20;12/17/21
CO2012-01786;12/17/20;12/17/21
CO2012-01617;12/18/20;12/17/21
CO2102-00630;12/20/19;12/19/21
CO2101-01084;12/20/20;12/20/21
CO2012-00877;12/22/20;12/21/21
CO1911-01134;11/22/19;12/21/21
CO2011-01625;11/22/20;12/21/21
CO1911-01134;11/22/19;12/21/21
CO1912-00953;12/20/20;12/21/21
CO2012-00233;12/26/20;12/25/21
CO1911-00275;12/30/19;12/30/21
CO2101-00748;1/1/21;12/31/21
CO2012-02580;1/1/21;12/31/21
CO2012-01701;1/1/21;12/31/21
CO2012-02111;1/5/21;1/4/22
CO2012-02459;1/5/21;1/4/22
CO2012-01010;1/5/21;1/5/22
CO2101-01266;1/8/21;1/7/22
CMA2102-002;1/8/21;1/7/22
CO2011-00664;1/9/21;1/8/22
CO2101-00703;1/12/21;1/11/22
CO2101-00458;1/12/21;1/11/22
CO2101-00458;1/12/21;1/11/22
CO2101-01468;1/16/21;1/15/22
CO2101-00959;1/17/21;1/16/22
CO2012-02252 CO2011-01189;1/5/21;1/16/22
CO2012-00777;1/18/21;1/17/22
CO2101-01823;1/17/21;1/17/22
CO2101-01162;1/19/21;1/18/22
CO2101-01002;1/19/21;1/18/22
CO2101-01377;1/19/21;1/18/22
CO2101-01647;1/21/21;1/20/22
CO2101-01647;1/20/22;1/20/22
CO2101-00719;1/21/21;1/20/22
CO2101-01002;1/20/21;1/20/22
CO2001-00615 CO2002-00898;1/22/21;1/21/22
CO1901-5184;1/21/19;1/21/22
CO2012-00751;1/22/21;1/22/22
CO2012-00171;1/24/21;1/24/22
CO2101-01419;1/25/21;1/24/22
CO1901-4570;1/24/19;1/24/22
CO2101-00975;1/29/21;1/28/22
CO1902-5856;1/29/19;1/29/22
CO1901-5039;1/29/19;1/29/22
CO2101-00491 CO2102-00801;2/1/21;1/31/22
CO2101-01223;2/1/21;1/31/22
CO2101-01499;2/1/21;1/31/22
CO2102-00851;2/23/21;1/31/22
CO2012-01670;1/31/21;2/1/22
CO2101-01627;2/6/21;2/5/22
CO2101-01627;2/6/21;2/5/22
CO2101-01628;2/6/21;2/5/22
CO2101-01628;2/6/21;2/5/22
CO2102-00478;2/15/21;2/15/22
CO2102-00637;2/17/21;2/16/22
CO2101-01392;2/20/21;2/19/22
CO2101-01271;2/21/21;2/20/22
CO2102-00849;2/25/21;2/24/22
CO2002-00893;2/24/20;2/24/22
CO2102-00932;2/25/21;2/24/22
CO2102-00951;2/25/21;2/24/22
CO2012-02055;3/1/21;3/1/22
CO2102-00649;3/5/21;3/5/22
CO2102-00575;3/7/21;3/7/22
CO2101-00443;;3/12/22
CO1903-6883;3/15/19;3/15/22
CO1902-6296 CO2006-01255;;3/18/22
CO2102-00604;3/19/21;3/18/22
CO2102-00606;3/22/21;3/22/22
CO2102-00606;3/22/21;3/22/22
CO1903-6818;3/25/19;3/25/22
CO2102-00605;3/31/21;3/30/22
CO2102-00605;3/31/21;3/30/22
CO2005-01165;3/31/20;3/30/22
CO2102-00798;4/5/21;4/5/22
CO2102-00799;4/6/21;4/6/22
CO2102-00605;4/16/21;4/15/22
CO2004-00141;5/1/20;4/30/22
CO2004-00341;5/4/20;5/4/22
CO1905-8495;5/10/19;5/10/22
CO1905-9079;6/4/19;6/4/22
CO2002-00893;2/24/20;6/24/22
CO1910-00202;6/25/19;6/25/22
CO2007-00450;7/29/20;7/28/22
CO1908-00169;9/3/19;9/3/22
CO2009-00069;9/8/20;9/8/22
CO1909-01049;9/17/19;9/17/22
CO1910-00744;10/24/19;10/24/22
CO1909-02078 CO1911-01191;;10/25/22
CO1911-00832;11/21/19;11/21/22
CO1911-00401;11/29/19;11/29/22
CO1911-00908;12/2/19;12/2/22
CO1912-01148;12/26/19;12/26/22
CO1911-01487;2/4/20;2/4/23
CO2001-00419;2/21/20;2/21/23
CO2004-00273;4/24/20;4/24/23
CO2003-00090;5/1/20;4/30/23
CO2005-00403;5/18/20;5/18/23
CO2005-00144;5/20/20;5/20/23
CO2101-01144;6/1/20;5/30/23
CO2012-02130;6/1/20;5/31/23
CO2004-00118;6/1/20;5/31/23
CO2006-01030;6/15/20;6/15/23
CO2003-00778 CO2101-00507;;6/16/23
CO2006-00489 CO2012-00321;;6/30/23
CO2007-00132;7/6/20;7/6/23
CO2007-00399;7/13/20;7/12/23
CO2004-00273;8/1/20;7/31/23
CO2008-00685;9/1/20;8/31/23
CO2009-00581;10/1/20;9/30/23
CO2012-00400;10/4/20;10/3/23
CO2009-01682;10/30/20;10/29/23
CO2010-01107;11/1/20;10/31/23
CO2010-01536;11/5/20;11/5/23
CO2011-00962;12/1/20;11/30/23
CO2012-00704;12/15/20;12/15/23
CO2101-01688;2/1/21;1/31/24
CO1902-5852;2/1/19;2/1/24
CO2102-00584;2/16/21;2/15/24
CO2102-00041;3/3/21;3/2/24
CO2102-00214;2/12/21;2/12/24
CO2102-01032;3/1/21;2/28/22
CO2009-00343;9/8/20;9/7/21
CO2102-00119;3/8/21;9/7/21
CO2103-00272;3/6/21;3/5/22
