HARRISSARTJULIETT;Mme HARRISSART Juliette;juju.harrissart@gmail.com;0646845403;2019-11-16 00:00:00.000;2020-10-04 13:32:03.000;NULL;NULL;2020-07-22 00:00:00.000;12 Place Martin lutherking;12 Place Martin lutherking;76000;Rouen;FRA;FRANCE;0.000000
AVER;AVER INFORMATIQUE;Eric.Garnier@aver.com;;2015-12-09 00:00:00.000;2020-10-04 13:32:03.000;NULL;NULL;2016-02-01 00:00:00.000;Distributieweg 13, 2742 RB;Distributieweg 13, 2742 RB;27313604;WADDINXVEEN;NLD;PAYS-BAS;0.000000
ADMH1;ADMH;admin@bigbandcafe.com;0231479613;2013-10-09 00:00:00.000;2022-09-19 15:34:22.000;NULL;NULL;2014-05-05 00:00:00.000;1 Avenue du Haut Crépon;1 Avenue du Haut Crépon;14200;HEROUVILLE SAINT CLAIR;FRA;FRANCE;0.000000
ANIMAGIE;ANIMAGIE;contact@animagie.com;0160299716;2017-12-13 00:00:00.000;2020-10-04 13:32:03.000;NULL;NULL;NULL;112 Avenue de Paris;112 Avenue de Paris;94306;VINCENNES;FRA;FRANCE;0.000000
ARTEMIS;ARTEMIS;artemiscaen@wanadoo.fr;0231435959;2012-06-18 00:00:00.000;2020-10-04 13:32:03.000;NULL;NULL;NULL;11 rue Alfred Kastler;11 rue Alfred Kastler;14064;CAEN CEDEX 4;FRA;;0.000000
THEPROCLUB;THE PRO CLUB;david.gomes@theproclub.com;0182009801;2012-06-18 00:00:00.000;2020-10-04 13:32:03.000;NULL;NULL;NULL;79 rue de Sèvres;79 rue de Sèvres;92100;BOULOGNE BILLANCOURT;FRA;;0.000000
UFP;UFP;jf@ufp-international.fr;0149465756;2012-06-18 00:00:00.000;2020-10-04 13:32:03.000;NULL;NULL;2015-10-16 00:00:00.000;ZAC du Cornillon Sud;ZAC du Cornillon Sud;93212;LA PLAINE SAINT DENIS CEDEX;FRA;FRANCE;0.000000
YELLOW;DIM0 GESTION;dimo@dimo-gestion.fr;0472860190;2012-06-18 00:00:00.000;2020-10-04 13:32:03.000;NULL;FR26399551282;NULL;590 allée des hêtres;590 allée des hêtres;69760;LIMONEST;FRA;;0.000000
MANUTAN;MANUTAN;"info@manutan.fr ";0134533535;2019-08-28 00:00:00.000;2020-10-04 13:32:03.000;NULL;NULL;2019-09-03 00:00:00.000;Avenue du XXième siècle;Avenue du XXième siècle;95500;GONESSE;FRA;FRANCE;0.000000
NEXTVENTURES;NEXT VENTURES;romain@next-ventures.com;0182884262;2019-11-28 00:00:00.000;2020-10-04 13:32:03.000;NULL;NULL;2020-01-31 00:00:00.000;7 Floor, 140 Aldersgate Street;7 Floor, 140 Aldersgate Street;EC1A 4HY;LONDON;GBR;ROYAUME UNI;0.000000
LAROENTREPRISE1;LARO AMENAGEMENT D'INTERIEUR;secretariat@laro-caen.fr;0231297651;2019-11-29 00:00:00.000;2020-10-04 13:32:03.000;NULL;NULL;NULL;ZA de la Baulue;ZA de la Baulue;14760;BRETTEVILLE SUR ODON;FRA;FRANCE;0.000000
NATIONALENERGY;NATIONAL ENERGY;Nationalenergy.fr@gmail.com;0652169090;2020-05-29 15:55:46.000;2020-10-04 13:32:03.000;81488673500012;NULL;NULL;120 Rue Jean Jaurès;120 Rue Jean Jaurès;92300;LEVALLOIS PERRET;FRA;FRANCE;0.000000
GEDICABLE;GEDICABLE;motin.pascal@neuf.fr;;2022-10-03 11:13:55.000;2023-01-16 10:01:53.000;91957782500012;NULL;2023-01-16 00:00:00.000;6 Route de Troarn;6 Route de Troarn;14810;GONNEVILLE EN AUGE;FRA;FRANCE;0.000000
SOPROTEC1;SOPROTEC;administratif@soprotec.fr;0232196060;2023-03-15 10:20:05.000;2023-03-15 16:27:30.000;39371018100032;FR64393710181;NULL;Parc de la Bretèque;Parc de la Bretèque;76237;BOIS GUILLAUME CEDEX;FRA;FRANCE;0.000000
MARINELABEL;MARINE LABEL;transbar@marine-label.com;0490724848;2017-03-20 00:00:00.000;2020-10-04 13:32:03.000;NULL;NULL;2017-06-08 00:00:00.000;LE SAPT;LE SAPT;42660;ST GENEST MALIFAUX;FRA;FRANCE;0.000000
MARQUAGEMODERNE;MARQUAGE MODERNE;abo@marquagemoderne.com;0473671111;2016-07-27 00:00:00.000;2020-10-04 13:32:03.000;44231811900033;FR92442318119;2016-08-26 00:00:00.000;Parc Européen d'Entreprises;Parc Européen d'Entreprises;63200;RIOM;FRA;FRANCE;0.000000
MEIGNENCAMILLE;Camille MEIGNEN;cammei.1993@gmail.com;0678977013;2017-11-06 00:00:00.000;2020-10-04 13:32:03.000;NULL;NULL;NULL;154 Boulevard Leroy;154 Boulevard Leroy;14000;CAEN;FRA;FRANCE;0.000000
MICHELVINCENT;Maître MICHEL Vincent;huissier.troarn.caen@wanadoo.fr;0231233105;2012-06-18 00:00:00.000;2020-10-04 13:32:03.000;NULL;NULL;NULL;Huissier de Justice;Huissier de Justice;14202;HEROUVILLE SAINT CLAIR;FRA;;0.000000
MIEL;MIEL;emmanuel@miel.fr;0160193452;2012-06-18 00:00:00.000;2020-10-04 13:32:03.000;NULL;NULL;2013-01-25 00:00:00.000;PARC BUROSPACE 5;PARC BUROSPACE 5;91571;BIEVRE Cedex;FRA;;0.000000
MYSOFT;MYSOFT;logistique@mysoft.com;0140130728;2012-06-18 00:00:00.000;2020-10-04 13:32:03.000;39424678900033;FR76394246789;2023-06-19 00:00:00.000;129, Bvd de Sébastopol;129, Bvd de Sébastopol;75002;PARIS;FRA;;0.000000
MYSTERBLACKPRODUC;myster black productions;contact@mysterblack.com;;2015-09-18 00:00:00.000;2020-10-04 13:32:03.000;NULL;NULL;2019-07-12 00:00:00.000;102 Boulevard Leroy;102 Boulevard Leroy;14000;CAEN;FRA;FRANCE;0.000000
OPYSE;OPSYSE;contact@cleankeys.fr;04.42.04.32.68;2016-04-22 00:00:00.000;2020-10-04 13:32:03.000;NULL;NULL;2020-08-04 00:00:00.000;3187 Route d'Apt;3187 Route d'Apt;84800;L'ISLE SUR LA SORGUE;FRA;FRANCE;0.000000
PAYSANTMICHEL;PAYSANT MICHEL Entreprise;paysantmichel@orange.fr;0619175593;2012-06-18 00:00:00.000;2020-10-04 13:32:03.000;49470785400019;NULL;NULL;Hameau de Guillerville;Hameau de Guillerville;14940;BANNEVILLE LA CAMPAGNE;FRA;;0.000000
