 ID;Code dŽp™t;Code article;Stock dŽp™t
ARDID;ArdGDepCode;ArdGArtCode;ArdStk
1;COM;ACC-100812;1
2;COM;ACC-1827-SS-N7;6
3;COM;ACC-2668152;1
4;COM;ACC-2698;1
5;COM;ACC-2704;1
6;COM;ACC-8178-SS-N6;3
7;COM;ACC-840692;1
10;COM;ACC-9892;3
11;COM;ACC-9908;2
12;COM;ACC-AC00452;9
13;COM;ACC-AC00460;3
15;COM;ACC-AC01040;1
17;COM;ACC-AZ331LG;1
18;COM;ACC-BAS4;1
19;COM;ACC-BONXS;1
20;COM;ACC-D2IPO4PO1BK;1
23;COM;ACC-EX175MP3;2
24;COM;ACC-F3Y121BF0.1M;2
26;COM;ACC-GR-ICLEAR-DUSK-N5;5
27;COM;ACC-LCDH3;1
28;COM;ACC-OZ-COAT-WT-N6-BL;1
29;COM;ACC-OZ-COAT-WT-N6-RD;1
30;COM;ACC-PATIN;1
31;COM;ACC-PROL;1
32;COM;ACC-SP100;1
34;COM;ACC-TRIPO;4
36;COM;ACC-WALL/EU;1
37;COM;ACC-WIFIRE;2
38;COM;ADA-F3Y119BF0.1M;2
39;COM;ADO-2556950;1
40;COM;ADO-ADB65136538;1
41;COM;AKG-HRMK181DJ;1
42;COM;AKG-HRMK420BLUFR;1
43;COM;ANI-CTR017740FR;1
44;COM;ANI-CTR017820FR;1
45;COM;APP-M8639G/A;3
46;COM;APP-M9109G/A;4
47;COM;APP-M9267G/A;5
48;COM;APP-M9319G/A;3
49;COM;APP-M9320G/A;1
50;COM;APP-M9321G/B;2
53;COM;APP-MA591ZM/C;8
54;COM;APP-MB112ZM/C;1
55;COM;APP-MB202G/A;5
56;COM;APP-MB203G/A;5
57;COM;APP-MB204G/A;5
59;COM;APP-MB571Z/A;1
60;COM;APP-MB572Z/B;3
65;COM;APP-MC360ZM/A;1
67;COM;APP-MC380Z/A;11
68;COM;APP-MC461Z/A;1
69;COM;APP-MC500ZM/A;5
71;COM;APP-MC747Z/A;8
74;COM;APP-MC940ZM/A;4
79;COM;APP-MD464ZM/A;2
80;COM;APP-MD504ZM/A;3
81;COM;APP-MD506Z/A;5
82;COM;APP-MD564ZM/A;1
83;COM;APP-MD565Z/A;6
84;COM;APP-MD592Z/A;3
85;COM;APP-MD813ZM/A;2
87;COM;APP-MD819ZM/A;20
88;COM;APP-MD821ZM/A;6
91;COM;APP-MD825ZM/A;6
96;COM;APP-MD861ZM/A;2
100;COM;APP-MF045ZM/A;1
104;COM;APP-MF217F/A;1
105;COM;APP-MF218F/A;1
106;COM;APP-MGNC2ZM/A;1
123;COM;APP-MJ2R2Z/A;5
124;COM;APP-MK0D2ZM/A;1
127;COM;APP-MKLM2ZM/A;1
130;COM;APP-MKLY2ZM/A;3
131;COM;APP-MKM12ZM/A;1
132;COM;APP-MKM22ZM/A;2
134;COM;APP-MKM42ZM/A;2
135;COM;APP-MKM52ZM/A;2
155;COM;APP-MLA22F/A;2
162;COM;APP-MLD32ZM/A;1
163;COM;APP-MLD42ZM/A;2
164;COM;APP-MLD52ZM/A;2
166;COM;ASC-HKDOCKIPBLACKGOLD;1
167;COM;ASC-SCICONGREEN;1
168;COM;AUD-AT-ATHANC7B;2
169;COM;AUD-AT-ATHFC707WH;1
170;COM;AVA-AVKB-T00;2
186;COM;BEE-100529;1
188;COM;BEE-100592;2
189;COM;BEE-100706;1
190;COM;BEE-100799;1
191;COM;BEE-100831;1
192;COM;BEE-100969;1
193;COM;BEE-101071;1
194;COM;BEE-101106;1
195;COM;BEE-101107;1
215;COM;BEE-BBX112A0;3
222;COM;CAB-1078404;4
223;COM;CAB-1805848;5
224;COM;CAB-AV10009QP2M;3
230;COM;CLE-PKP-100304;3
233;COM;CRU-CHES;2
234;COM;CRU-GB-L-003;1
235;COM;CRU-MUL7-002;5
236;COM;CRU-MUL7-003;5
237;COM;CRU-MUL7-004;2
238;COM;CRU-SLF-004;1
239;COM;CYG-CY1095POPB2FR;1
242;COM;EDI-AURORA-SB;2
243;COM;ELG-1MO108501000FR;1
244;COM;FIL-H1858F/A;1
248;COM;GEA-PG309;1
249;COM;GOP-HDMI3;2
