Code;Libellé;STOCK À TRANSFÉRER SUR GLE;3LETTRES;Nouvelle Référence GLE;Serialisation;GAMME;CATEGORIE;COLLECTION;NATURE;FAMILLE;N° DE SÉRIE;Prix vente HT;Prix achat HT;Emplacement stock;Nom fournisseur;Code barre;
THZ192FR;Targus THZ192FR Versavu Etui rotatif pour iPad Air avec clavier Azerty noir;105;TAR-;TAR-THZ192FR;NUFARTSTKSTD;TEXTILE;TEXTILE;TARGUS;POCHETTES;0;; 	40,83  € ; 	14,99  € ;D0+E0+SR+AMAZON;;5051794011517;
064690-62;Fiche US femelle coudée 250 V/AC;77;GEN-;GEN-064690-62;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;0;0;; 	4,50  € ; 	-      ;K2;;064690-62;
WIN7;Windows 7;68;MIC-;MIC-WIN7;NUFARTSTKSTD;LOGICIELS;LOGICIELS;MICROSOFT;SYSTEME;0;; 	15,00  € ; 	149,00  € ;C2;SOFTWARE BILLIGER.DE;WIN7;
IPADCASE360NOIRAIR2;Housse Intégrale Générique 360° iPad Air 2 Noire  ;56;GEN-;GEN-IPADCASE360NOIRAIR2;NUFARTSTKSTD;TEXTILE;TEXTILE;GENERIQUE;POCHETTES;0;; 	33,33  € ; 	11,00  € ;F2;ALIEXPRESS;IPADCASE360NOIRAIR2;
532300;Cordon USB 2.0 AB M/M 5 M STD;53;CAB-;CAB-532300;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;0;0;; 	-      ; 	10,00  € ;I5;;3524890532306;
2061404;Plastron 45x45 HDMI 1.4 F-M - AWG28 - 5m;36;NEK-;NEK-2061404;NUFARTSTKSTD;MATERIEL;RESEAU;NEKLAN;ACCESSOIRES;0;; 	19,00  € ; 	25,00  € ;L3;NEKLAN;3662247180920;
9951017;Boitier saillie alu 45x45 – 3 box 45x45 (185x70x60 mm);29;RES-;RES-9951017;NUFARTSTKSTD;MATERIEL;RESEAU;GENERIQUE;ACCESSOIRES;0;; 	29,00  € ; 	28,50  € ;L3;NEKLAN;3662247189725;
TC2 USBB;VISION TECHCONNECT V2 MODULE USB B (À LAVANT) VERS BOOSTER ACTIF A;45;VIS;VISTC2 USBB;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;VISION;0;0;; 	32,00  € ; 	32,00  € ;K2;TECH DATA FRANCE;;
CABMDVGA;Cable mini display vers VGA;45;CAB-;CAB-CABMDVGA;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;0;0;; 	19,00  € ; 	35,00  € ;J2;ALIEXPRESS;SKU015028-W;
TC2HDMI;VISION TechConnect - Plaque modulaire enclenchable - HDMI ;43;VIS-;VIS-TC2HDMI;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;VISION;0;0;; 	16,49  € ; 	-      ;K2;;TC2HDMI;
TC23MUSB;Vision Techconnect 2 - Câble USB - USB à 4 broches, type A (M) - USB à 4 broches;41;VIS;VISTC23MUSB;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;VISION;0;0;; 	4,20  € ; 	9,00  € ;I5;;3004700000008;
41931;Câble USB 2.0 type A/A, 0,5m;39;CAB-;CAB-41931;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;0;0;; 	1,56  € ; 	1,56  € ;I2;LINDY France SARL;4002888419314;
TC2BACKBOX1G;VISION TechConnect - Boîtier arrière - commande unique ;37;VIS-;VIS-TC2BACKBOX1G;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;VISION;0;0;; 	5,76  € ; 	-      ;K5;;1643922000001;
ADAPTMD;Adaptateur mini display port vers VGA/DVI/HDMI - Noir;37;CAB-;CAB-ADAPTMD;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;0;0;; 	29,00  € ; 	27,55  € ;J2;ALIEXPRESS;ADAPTMD;
B00P6JKACS;Adaptateur Display vers VGA;36;CAB-;CAB-B00P6JKACS;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;0;0;; 	15,00  € ; 	35,74  € ;K1;;B00P6JKACS;
2051027;Plastron 45x45 HD15 F / M + Jack 3.5 stéréo F / M - AWG28 - 5 m;35;GEN-;GEN-2051027;NUFARTSTKSTD;MATERIEL;RESEAU;GENERIQUE;ACCESSOIRES;0;; 	25,66  € ; 	31,20  € ;L3;TECH DATA FRANCE;3662247122043;
C5SG0050;Cordon RJ45 Cat 5e F/UTP Primacy 0.5m beige;35;CAB-;CAB-C5SG0050;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;0;0;; 	1,52  € ; 	1,52  € ;I4;EDOX;C5SG0050;
MQPC7007F;Plastron USB Femelle 0,15m;34;GEN-;GEN-MQPC7007F;NUFARTSTKSTD;MATERIEL;RESEAU;GENERIQUE;ACCESSOIRES;0;; 	11,74  € ; 	11,74  € ;K3;;MQPC7007F;
4985;Plastron 1 RJ45 45x45 blanc;31;GEN-;GEN-4985;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;0;0;; 	1,56  € ; 	1,52  € ;K4;EDOX;4985;
3545411211579;Clips irldiametre 20;30;GEN-;GEN-3545411211579;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;0;0;; 	4,35  € ; 	4,35  € ;K5;BRICO DEPOT;;
S0610435;CÂBLE RJ45 CATÉGORIE 5E F/UTP 1 M (BEIGE);29;CAB-;CAB-S0610435;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;0;0;; 	3,32  € ; 	3,32  € ;;LDLC PRO;3700224718077;
B2B069-C00;Executive Leather Folio - Galaxy Tab 2;27;;;;;;;;;; 	39,81  € ; 	-      ;E2;;B2B069-C00;
TC2SURR1G;VISION TechConnect - Plaque - commande unique ;26;VIS-;VIS-TC2SURR1G;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;VISION;0;0;; 	7,42  € ; 	10,00  € ;K4;;1622115000004;
TC2 BACKBOX1G;VISION TECHCONNECT - Boîtier arrière - commande unique ;25;VIS-;VIS-TC2 BACKBOX1G;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;VISION;0;0;; 	2,50  € ; 	3,00  € ;K5;TECH DATA FRANCE;1643922000001;
IPADCASE360NOIRAIR;Housse Intégrale Générique 360° iPad Air Noire  ;25;GEN-;GEN-IPADCASE360NOIRAIR;NUFARTSTKSTD;TEXTILE;TEXTILE;GENERIQUE;POCHETTES;0;; 	33,33  € ; 	17,10  € ;E2;ALIEXPRESS;IPAD360NOIRAIR;
TC2USBB;VISION TechConnect - Plaque modulaire enclenchable - USB Type B;23;VIS;VISTC2USBB;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;VISION;0;0;; 	8,33  € ; 	-      ;K2;;1643919000007;
2061698;Plastron 45x45 USB2.0 B F vers USB A F Amplifié – 0.2m;18;GEN-;GEN-2061698;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;0;0;; 	19,00  € ; 	27,55  € ;L5;NEKLAN;3662247182269;
MC908-2M;MCL Samar câble d'alimentation - 2 m;21;MCL-;MCL-MC908-2M;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;MCL;0;0;; 	4,54  € ; 	4,54  € ;J3;TECH DATA FRANCE;3700224714192;
4EH-00002;Microsoft Comfort Mouse 4500 for Business - Souris - optique - 5 boutons - filai;20;MIC-;MIC-4EH-00002;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;MICROSOFT;0;0;; 	15,36  € ; 	15,36  € ;B3;TECH DATA FRANCE;885370249064;
C6ADZ0030V;Cordon RJ45 Cat 6a F/FTP Primacy LSZH 0.3m vert;20;CAB-;CAB-C6ADZ0030V;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;0;0;; 	3,12  € ; 	-      ;;EDOX;;
HOUSSESOLIDBLACK;New product handheld protective sleeve PU leather case stand sleeve solid color;18;GEN-;GEN-HOUSSESOLIDBLACK;NUFARTSTKSTD;TEXTILE;TEXTILE;GENERIQUE;POCHETTES;0;; 	37,56  € ; 	-      ;E2;;HOUSSESOLIDBL;
CABJACKMM2M;Câble Jack M/M 1M;18;GEN-;GEN-CABJACKMM2M;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;0;0;; 	4,00  € ; 	-      ;J2;;CABJACKMM2M;
LEG099671;OBTURATEUR (2 MODULES) GP KHEOPS GP;7;GEN-;GEN-LEG099671;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;0;0;; 	5,00  € ; 	4,75  € ;K5;REXEL;3414970338761;
1007522;Câble USB 5M;17;CAB-;CAB-1007522;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;0;0;; 	15,00  € ; 	19,00  € ;I2;;1007522;
WIN10;Windows 10;15;MIC-;MIC-WIN10;NUFARTSTKSTD;LOGICIELS;LOGICIELS;MICROSOFT;SYSTEME;0;; 	49,00  € ; 	119,00  € ;C3;SOFTWARE BILLIGER.DE;WIN10;
2090086;RallongeUSB2.0A-AM/FNoir-5m;13;CAB-;CAB-2090086;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;0;0;; 	5,00  € ; 	5,00  € ;;NEKLAN;;
3510B;Eclateur RJ45 Mâle / 2 Femmelles Cat 5e;16;GEN-;GEN-3510B;NUFARTSTKSTD;MATERIEL;ACCESSOIRES;GENERIQUE;0;0;; 	7,61  € ; 	-      ;I2;EDOX;3510B;
