ARDID;ArdGArtCode;ArdStk;ArdGArtLib;ArdEmpl;ArdGDepCode;ArtLastPA
1854;QDO-QD106521TGPR;-1;QDOS OptiGuard Glass Privacy - Tempered Glass Screen Protector for iPhone Xs Max;;COM;10,24
1922;APP-S6048ZM/A;-1;AppleCare+ for iMac;;COM;164
1931;APP-S6054ZM/A;-1;AppleCare+ for 15-inch MacBook Pro;;COM;337
1942;APP-S6540ZM/A;-1;AppleCare+ for iPad Pro;;COM;104
2117;MEE-MW-410105;-1;DENIM SLEEVE - Dark Grey - MacBook Pro/Air 13;;COM;13,2
2432;APP-S8945ZM/A;-1;AppleCare+ for iPhone 12;;COM;135,2
1;ACC-100812;1;Film protecteur MBpro 15;;COM;7
3;ACC-2668152;1;iPad Case C2 Lady Pink;;COM;6,72
4;ACC-2698;1;ScratchStopper Color iPhn 5c green\n\n;;COM;4,73
5;ACC-2704;1;ScratchStopper Color iPhn 5c blue\n\n;;COM;4,73
7;ACC-840692;1;Sacoche pour ordinateur 15;;COM;15,92
15;ACC-AC01040;1;COQUE CLIC WOODEN IPHONE 6+ NOIR;;COM;16,66
17;ACC-AZ331LG;1;USB Power Charger For All iPods Blk;;COM;4,5
18;ACC-BAS4;1;KIT MAIN LIBRE VOITURE;;COM;42,9
19;ACC-BONXS;1;Sacoche Bronx pour iPad;;COM;24,54
20;ACC-D2IPO4PO1BK;1;Leather iPhone 4/4S Black;;COM;15,75
27;ACC-LCDH3;1;LCD Touch BACPAC;;COM;65,01
28;ACC-OZ-COAT-WT-N6-BL;1;Bracelet Nano 6 Bleu;;COM;12,18
29;ACC-OZ-COAT-WT-N6-RD;1;Bracelet Nano 6 Rouge;;COM;12,18
30;ACC-PATIN;1;Patin Anti dérapant MacBook pro (x4);;COM;6,84
31;ACC-PROL;1;Etui clip ceinture iPhone 5;;COM;3,99
32;ACC-SP100;1;Batterie de secours solaire;;COM;23,7
36;ACC-WALL/EU;1;Wall Charger EU;;COM;13,1
39;ADO-2556950;1;Adobe Photoshop Elements - (version 11 ) - ensemble complet - 1 utilisateur - DV;;COM;60,95
40;ADO-ADB65136538;1;Photoshop Element 10;;COM;59,49
41;AKG-HRMK181DJ;1;Casque AKG K181DJ;;COM;125,41
42;AKG-HRMK420BLUFR;1;Casque AKG K420BLU - Bleu;;COM;30,1
43;ANI-CTR017740FR;1;Animal Zebra Hard Shell iPhone 4 Black;;COM;13,79
44;ANI-CTR017820FR;1;Animal Silicone Corp Logo iPhone 4 Black/Pink;;COM;11,95
49;APP-M9320G/A;1;Adaptateur mini-DVI vers VGA;;COM;12,62
54;APP-MB112ZM/C;1;Apple Mouse;;COM;37,94
59;APP-MB571Z/A;1;Adaptateur Mini-DisplayPort vers DVI double lien (pour écran 30);;COM;74,78
65;APP-MC360ZM/A;1;Dock iPad;;COM;19,72
100;APP-MF045ZM/A;1;iPhone 5s Case - Noir;;COM;25,78
104;APP-MF217F/A;1;AppleCare protection Plan Mac mini;;COM;49,36
105;APP-MF218F/A;1;AppleCare Protection Plan MacBook Pro 15/17;;COM;187,92
106;APP-MGNC2ZM/A;1;Apple Smart Cover - noir pour iPad mini iPad mini 2 3;;COM;27,58
