Requêtes du 08 / 08 / 2017;1;0;08/08/2017 20:25:55;08/08/2017 23:33:04;23;1
[OBJECT_DATA];Product;0;27;0;5;0;0;0;0
[ROW];danger;20:28:20;Product;0;ps77_dol{dol_id};Echec de la mise à jour des données de synchronisation - Erreur SQL: <span class="sqlError">You have an error in your SQL syntax
[ROW];danger;20:28:20;Product;;;Echec de la création du produit - Erreur SQL: <span class="sqlError">You have an error in your SQL syntax
[ROW];danger;20:32:39;Product;;;Echec de la création du produit
[ROW];danger;20:34:06;Product;;;Echec de la création du produit
[ROW];danger;20:34:35;Product;;;Echec de la création du produit
[ROW];danger;20:35:14;Product;;;Echec de la création du produit
[ROW];danger;20:35:24;Product;;;Echec de la création du produit
[ROW];danger;20:36:10;Product;;ps77_dol{dol_id};Echec de la création du produit
[ROW];danger;20:37:10;Product;;ps77_dol{dol_id};Echec de la création du produit
[ROW];danger;20:38:23;Product;;ps77_dol{dol_id};Echec de la création du produit res:-1
[ROW];danger;20:39:04;Product;;ps77_dol{dol_id};Echec de la création du produit res:-1
[ROW];danger;20:41:51;Product;;ps77_dol{dol_id};Echec de la création du produit (Erreur: ErrorProductAlreadyExists)
[ROW];danger;20:45:27;Product;;ps77_dol{dol_id};Echec de la création du produit (Erreur: Unknown column 'longdescript' in 'field list') - Erreur SQL: <span class="sqlError">Unknown column 'longdescript' in 'field list'</span>
[ROW];danger;21:03:31;Product;;ps77_dol{dol_id};Echec de la création du produit (Erreur: Unknown column 'longdescript' in 'field list') - Erreur SQL: <span class="sqlError">Unknown column 'longdescript' in 'field list'</span>
[ROW];danger;21:03:58;Product;;ps77_dol{dol_id};Echec de la création du produit (Erreur: Unknown column 'longdescript' in 'field list') - Erreur SQL: <span class="sqlError">Unknown column 'longdescript' in 'field list'</span>
[ROW];danger;21:04:28;Product;;ps77_dol{dol_id};Echec de la création du produit (Erreur: Unknown column 'longdescript' in 'field list') - Erreur SQL: <span class="sqlError">Unknown column 'longdescript' in 'field list'</span>
[ROW];success;21:09:01;Product;6761;ps77_dol{dol_id};Création du produit effectuée avec succès
[ROW];warning;21:09:01;Product;6761;ps77_dol{dol_id};Echec de l'enregistrement de la nouvelle clé de synchronisation (ps77_dol6761)
[ROW];danger;21:10:59;Product;;ps77_dol{dol_id};Echec de la création du produit (Erreur: ErrorProductAlreadyExists)
[ROW];success;21:12:13;Product;6764;ps77_dol{dol_id};Création du produit effectuée avec succès
[ROW];danger;21:12:52;Product;;ps77_dol{dol_id};Echec de la création du produit (Erreur: ErrorProductAlreadyExists)
[ROW];danger;21:13:04;Product;;ps77_dol{dol_id};Echec de la création du produit (Erreur: ErrorProductAlreadyExists)
[ROW];success;23:09:33;Product;6767;ps77_dol{dol_id};Création du produit effectuée avec succès
[ROW];danger;23:22:38;Product;;ps77_dol{dol_id};Echec de la création du produit (Erreur: ErrorProductAlreadyExists)
[ROW];danger;23:22:39;Product;;ps77_dol{dol_id};Echec de la création du produit (Erreur: ErrorProductAlreadyExists)
[ROW];danger;23:23:12;Product;;ps77_dol{dol_id};Echec de la création du produit (Erreur: ErrorProductAlreadyExists)
[ROW];danger;23:23:55;Product;;ps77_dol{dol_id};Echec de la création du produit (Erreur: ErrorProductAlreadyExists)
[ROW];success;23:28:59;Product;6770;ps77_dol{dol_id};Création du produit effectuée avec succès
[ROW];success;23:33:04;Product;6773;ps77_dol{dol_id};Création du produit effectuée avec succès
